"Nombre","curso","edad","Asignatura","Detalle_Nota","Nota","Asistencia","Observacion de conducta"
"Amor Riquelme Pedro","3° Básico B","18","Ciencias","Exposición 2","3,8","84%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Amor Riquelme Pedro","3° Básico B","18","Ciencias","Exposición 3","3,7","84%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Amor Riquelme Pedro","3° Básico B","18","Ciencias","Ensayo 4","6,4","84%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Amor Riquelme Pedro","3° Básico B","18","Historia","Prueba 1","6,3","84%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Amor Riquelme Pedro","3° Básico B","18","Historia","Tarea 2","7,0","84%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Amor Riquelme Pedro","3° Básico B","18","Educación Física","Laboratorio 1","6,9","84%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Amor Riquelme Pedro","3° Básico B","18","Educación Física","Exposición 2","4,6","84%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Amor Riquelme Pedro","3° Básico B","18","Inglés","Exposición 1","4,6","84%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Amor Riquelme Pedro","3° Básico B","18","Inglés","Control 2","4,0","84%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Amor Riquelme Pedro","3° Básico B","18","Inglés","Laboratorio 3","5,9","84%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Amor Riquelme Pedro","3° Básico B","18","Matemáticas","Tarea 1","3,3","84%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Amor Riquelme Pedro","3° Básico B","18","Matemáticas","Tarea 2","3,1","84%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Amor Riquelme Pedro","3° Básico B","18","Lenguaje","Control 1","6,7","84%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Amor Riquelme Pedro","3° Básico B","18","Lenguaje","Tarea 2","4,9","84%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Amor Riquelme Pedro","3° Básico B","18","Lenguaje","Tarea 3","6,0","84%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Emperatriz del Losa","1° Básico A","16","Historia","Ensayo 1","3,5","99%","Muestra gran interés, pero a veces conversa en clases."
"Emperatriz del Losa","1° Básico A","16","Historia","Tarea 2","3,8","99%","Muestra gran interés, pero a veces conversa en clases."
"Emperatriz del Losa","1° Básico A","16","Historia","Control 3","6,0","99%","Muestra gran interés, pero a veces conversa en clases."
"Emperatriz del Losa","1° Básico A","16","Matemáticas","Exposición 1","6,6","99%","Muestra gran interés, pero a veces conversa en clases."
"Emperatriz del Losa","1° Básico A","16","Matemáticas","Laboratorio 2","6,0","99%","Muestra gran interés, pero a veces conversa en clases."
"Emperatriz del Losa","1° Básico A","16","Matemáticas","Laboratorio 3","3,4","99%","Muestra gran interés, pero a veces conversa en clases."
"Emperatriz del Losa","1° Básico A","16","Matemáticas","Exposición 4","6,2","99%","Muestra gran interés, pero a veces conversa en clases."
"Emperatriz del Losa","1° Básico A","16","Inglés","Prueba 1","4,1","99%","Muestra gran interés, pero a veces conversa en clases."
"Emperatriz del Losa","1° Básico A","16","Inglés","Tarea 2","4,1","99%","Muestra gran interés, pero a veces conversa en clases."
"Emperatriz del Losa","1° Básico A","16","Inglés","Tarea 3","3,1","99%","Muestra gran interés, pero a veces conversa en clases."
"Emperatriz del Losa","1° Básico A","16","Inglés","Laboratorio 4","3,2","99%","Muestra gran interés, pero a veces conversa en clases."
"Emperatriz del Losa","1° Básico A","16","Lenguaje","Control 1","6,2","99%","Muestra gran interés, pero a veces conversa en clases."
"Emperatriz del Losa","1° Básico A","16","Lenguaje","Control 2","5,2","99%","Muestra gran interés, pero a veces conversa en clases."
"Emperatriz del Losa","1° Básico A","16","Lenguaje","Exposición 3","5,4","99%","Muestra gran interés, pero a veces conversa en clases."
"Azeneth González Viana","2° Básico B","18","Educación Física","Control 1","3,8","99%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Azeneth González Viana","2° Básico B","18","Educación Física","Laboratorio 2","5,9","99%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Azeneth González Viana","2° Básico B","18","Ciencias","Prueba 1","3,7","99%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Azeneth González Viana","2° Básico B","18","Ciencias","Laboratorio 2","5,0","99%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Azeneth González Viana","2° Básico B","18","Ciencias","Tarea 3","3,6","99%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Azeneth González Viana","2° Básico B","18","Historia","Ensayo 1","5,2","99%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Azeneth González Viana","2° Básico B","18","Historia","Prueba 2","5,6","99%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Azeneth González Viana","2° Básico B","18","Matemáticas","Exposición 1","6,1","99%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Azeneth González Viana","2° Básico B","18","Matemáticas","Ensayo 2","4,9","99%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Azeneth González Viana","2° Básico B","18","Matemáticas","Prueba 3","4,8","99%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Azeneth González Viana","2° Básico B","18","Inglés","Exposición 1","6,6","99%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Azeneth González Viana","2° Básico B","18","Inglés","Prueba 2","3,6","99%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Azeneth González Viana","2° Básico B","18","Inglés","Control 3","6,8","99%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Melchor Borrell Guillén","6° Básico A","14","Matemáticas","Tarea 1","3,8","82%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Melchor Borrell Guillén","6° Básico A","14","Matemáticas","Exposición 2","3,1","82%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Melchor Borrell Guillén","6° Básico A","14","Lenguaje","Tarea 1","3,1","82%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Melchor Borrell Guillén","6° Básico A","14","Lenguaje","Exposición 2","4,8","82%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Melchor Borrell Guillén","6° Básico A","14","Inglés","Control 1","5,9","82%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Melchor Borrell Guillén","6° Básico A","14","Inglés","Exposición 2","3,5","82%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Melchor Borrell Guillén","6° Básico A","14","Inglés","Laboratorio 3","3,4","82%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Melchor Borrell Guillén","6° Básico A","14","Inglés","Control 4","5,2","82%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Melchor Borrell Guillén","6° Básico A","14","Historia","Tarea 1","6,4","82%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Melchor Borrell Guillén","6° Básico A","14","Historia","Laboratorio 2","5,6","82%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Melchor Borrell Guillén","6° Básico A","14","Historia","Prueba 3","4,3","82%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Melchor Borrell Guillén","6° Básico A","14","Historia","Tarea 4","3,9","82%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Melchor Borrell Guillén","6° Básico A","14","Ciencias","Exposición 1","3,4","82%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Melchor Borrell Guillén","6° Básico A","14","Ciencias","Laboratorio 2","4,3","82%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Sonia Ortuño Torrecilla","1° Medio A","17","Historia","Prueba 1","7,0","82%","Buen rendimiento académico, aunque es muy tímido."
"Sonia Ortuño Torrecilla","1° Medio A","17","Historia","Ensayo 2","4,1","82%","Buen rendimiento académico, aunque es muy tímido."
"Sonia Ortuño Torrecilla","1° Medio A","17","Historia","Laboratorio 3","6,0","82%","Buen rendimiento académico, aunque es muy tímido."
"Sonia Ortuño Torrecilla","1° Medio A","17","Matemáticas","Prueba 1","5,6","82%","Buen rendimiento académico, aunque es muy tímido."
"Sonia Ortuño Torrecilla","1° Medio A","17","Matemáticas","Prueba 2","6,0","82%","Buen rendimiento académico, aunque es muy tímido."
"Sonia Ortuño Torrecilla","1° Medio A","17","Matemáticas","Exposición 3","3,6","82%","Buen rendimiento académico, aunque es muy tímido."
"Sonia Ortuño Torrecilla","1° Medio A","17","Ciencias","Control 1","5,1","82%","Buen rendimiento académico, aunque es muy tímido."
"Sonia Ortuño Torrecilla","1° Medio A","17","Ciencias","Prueba 2","5,7","82%","Buen rendimiento académico, aunque es muy tímido."
"Sonia Ortuño Torrecilla","1° Medio A","17","Ciencias","Exposición 3","5,5","82%","Buen rendimiento académico, aunque es muy tímido."
"Sonia Ortuño Torrecilla","1° Medio A","17","Ciencias","Control 4","3,3","82%","Buen rendimiento académico, aunque es muy tímido."
"Sonia Ortuño Torrecilla","1° Medio A","17","Educación Física","Tarea 1","6,6","82%","Buen rendimiento académico, aunque es muy tímido."
"Sonia Ortuño Torrecilla","1° Medio A","17","Educación Física","Control 2","6,3","82%","Buen rendimiento académico, aunque es muy tímido."
"Sonia Ortuño Torrecilla","1° Medio A","17","Educación Física","Control 3","5,6","82%","Buen rendimiento académico, aunque es muy tímido."
"Sofía Santamaria","1° Medio A","15","Lenguaje","Ensayo 1","3,8","88%","Muestra gran interés, pero a veces conversa en clases."
"Sofía Santamaria","1° Medio A","15","Lenguaje","Control 2","4,2","88%","Muestra gran interés, pero a veces conversa en clases."
"Sofía Santamaria","1° Medio A","15","Historia","Tarea 1","5,9","88%","Muestra gran interés, pero a veces conversa en clases."
"Sofía Santamaria","1° Medio A","15","Historia","Ensayo 2","5,1","88%","Muestra gran interés, pero a veces conversa en clases."
"Sofía Santamaria","1° Medio A","15","Ciencias","Control 1","3,4","88%","Muestra gran interés, pero a veces conversa en clases."
"Sofía Santamaria","1° Medio A","15","Ciencias","Tarea 2","4,4","88%","Muestra gran interés, pero a veces conversa en clases."
"Sofía Santamaria","1° Medio A","15","Ciencias","Laboratorio 3","3,4","88%","Muestra gran interés, pero a veces conversa en clases."
"Sofía Santamaria","1° Medio A","15","Educación Física","Prueba 1","6,4","88%","Muestra gran interés, pero a veces conversa en clases."
"Sofía Santamaria","1° Medio A","15","Educación Física","Laboratorio 2","4,4","88%","Muestra gran interés, pero a veces conversa en clases."
"Sofía Santamaria","1° Medio A","15","Educación Física","Ensayo 3","5,3","88%","Muestra gran interés, pero a veces conversa en clases."
"Sofía Santamaria","1° Medio A","15","Educación Física","Exposición 4","3,1","88%","Muestra gran interés, pero a veces conversa en clases."
"Sabina Montero Bernad","1° Medio B","17","Ciencias","Control 1","6,1","86%","Muestra gran interés, pero a veces conversa en clases."
"Sabina Montero Bernad","1° Medio B","17","Ciencias","Ensayo 2","4,4","86%","Muestra gran interés, pero a veces conversa en clases."
"Sabina Montero Bernad","1° Medio B","17","Matemáticas","Exposición 1","3,8","86%","Muestra gran interés, pero a veces conversa en clases."
"Sabina Montero Bernad","1° Medio B","17","Matemáticas","Control 2","3,0","86%","Muestra gran interés, pero a veces conversa en clases."
"Sabina Montero Bernad","1° Medio B","17","Matemáticas","Prueba 3","3,5","86%","Muestra gran interés, pero a veces conversa en clases."
"Sabina Montero Bernad","1° Medio B","17","Matemáticas","Prueba 4","6,3","86%","Muestra gran interés, pero a veces conversa en clases."
"Sabina Montero Bernad","1° Medio B","17","Lenguaje","Tarea 1","4,0","86%","Muestra gran interés, pero a veces conversa en clases."
"Sabina Montero Bernad","1° Medio B","17","Lenguaje","Tarea 2","4,5","86%","Muestra gran interés, pero a veces conversa en clases."
"Sabina Montero Bernad","1° Medio B","17","Lenguaje","Laboratorio 3","3,4","86%","Muestra gran interés, pero a veces conversa en clases."
"Sabina Montero Bernad","1° Medio B","17","Lenguaje","Laboratorio 4","3,3","86%","Muestra gran interés, pero a veces conversa en clases."
"Sabina Montero Bernad","1° Medio B","17","Historia","Exposición 1","6,3","86%","Muestra gran interés, pero a veces conversa en clases."
"Sabina Montero Bernad","1° Medio B","17","Historia","Exposición 2","6,9","86%","Muestra gran interés, pero a veces conversa en clases."
"Sabina Montero Bernad","1° Medio B","17","Historia","Tarea 3","4,9","86%","Muestra gran interés, pero a veces conversa en clases."
"Sabina Montero Bernad","1° Medio B","17","Historia","Exposición 4","6,3","86%","Muestra gran interés, pero a veces conversa en clases."
"Rufino Juan Antonio Zurita Echeverría","6° Básico A","14","Inglés","Laboratorio 1","6,8","89%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Rufino Juan Antonio Zurita Echeverría","6° Básico A","14","Inglés","Control 2","3,7","89%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Rufino Juan Antonio Zurita Echeverría","6° Básico A","14","Historia","Prueba 1","6,3","89%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Rufino Juan Antonio Zurita Echeverría","6° Básico A","14","Historia","Control 2","3,2","89%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Rufino Juan Antonio Zurita Echeverría","6° Básico A","14","Matemáticas","Control 1","3,0","89%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Rufino Juan Antonio Zurita Echeverría","6° Básico A","14","Matemáticas","Exposición 2","3,3","89%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Rufino Juan Antonio Zurita Echeverría","6° Básico A","14","Matemáticas","Ensayo 3","6,4","89%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Rufino Juan Antonio Zurita Echeverría","6° Básico A","14","Matemáticas","Ensayo 4","3,4","89%","Ha mejorado su conducta, pero aún le cuesta concentrarse."
"Trinidad Galvez-Codina","1° Medio A","17","Inglés","Exposición 1","5,6","85%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Trinidad Galvez-Codina","1° Medio A","17","Inglés","Prueba 2","5,7","85%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Trinidad Galvez-Codina","1° Medio A","17","Historia","Control 1","5,6","85%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Trinidad Galvez-Codina","1° Medio A","17","Historia","Control 2","5,2","85%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Trinidad Galvez-Codina","1° Medio A","17","Historia","Laboratorio 3","5,9","85%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Trinidad Galvez-Codina","1° Medio A","17","Historia","Tarea 4","5,1","85%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Trinidad Galvez-Codina","1° Medio A","17","Educación Física","Exposición 1","5,6","85%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Trinidad Galvez-Codina","1° Medio A","17","Educación Física","Laboratorio 2","3,5","85%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Trinidad Galvez-Codina","1° Medio A","17","Educación Física","Prueba 3","4,3","85%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Trinidad Galvez-Codina","1° Medio A","17","Lenguaje","Ensayo 1","7,0","85%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Trinidad Galvez-Codina","1° Medio A","17","Lenguaje","Exposición 2","4,1","85%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Trinidad Galvez-Codina","1° Medio A","17","Lenguaje","Laboratorio 3","6,8","85%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Trinidad Galvez-Codina","1° Medio A","17","Lenguaje","Tarea 4","6,1","85%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Trinidad Galvez-Codina","1° Medio A","17","Matemáticas","Ensayo 1","5,2","85%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Trinidad Galvez-Codina","1° Medio A","17","Matemáticas","Tarea 2","4,4","85%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Trinidad Galvez-Codina","1° Medio A","17","Matemáticas","Laboratorio 3","4,0","85%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Eloísa Guadalupe Robledo Milla","3° Básico A","17","Lenguaje","Control 1","5,8","82%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Eloísa Guadalupe Robledo Milla","3° Básico A","17","Lenguaje","Tarea 2","5,8","82%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Eloísa Guadalupe Robledo Milla","3° Básico A","17","Lenguaje","Control 3","3,1","82%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Eloísa Guadalupe Robledo Milla","3° Básico A","17","Ciencias","Exposición 1","6,6","82%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Eloísa Guadalupe Robledo Milla","3° Básico A","17","Ciencias","Exposición 2","6,2","82%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Eloísa Guadalupe Robledo Milla","3° Básico A","17","Matemáticas","Prueba 1","6,2","82%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Eloísa Guadalupe Robledo Milla","3° Básico A","17","Matemáticas","Prueba 2","4,9","82%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Eloísa Guadalupe Robledo Milla","3° Básico A","17","Matemáticas","Prueba 3","5,9","82%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Eloísa Guadalupe Robledo Milla","3° Básico A","17","Matemáticas","Control 4","5,0","82%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Pastora Perez Valcárcel","6° Básico B","14","Ciencias","Ensayo 1","3,1","99%","Muestra gran interés, pero a veces conversa en clases."
"Pastora Perez Valcárcel","6° Básico B","14","Ciencias","Laboratorio 2","5,4","99%","Muestra gran interés, pero a veces conversa en clases."
"Pastora Perez Valcárcel","6° Básico B","14","Ciencias","Control 3","5,4","99%","Muestra gran interés, pero a veces conversa en clases."
"Pastora Perez Valcárcel","6° Básico B","14","Ciencias","Ensayo 4","4,1","99%","Muestra gran interés, pero a veces conversa en clases."
"Pastora Perez Valcárcel","6° Básico B","14","Matemáticas","Tarea 1","6,0","99%","Muestra gran interés, pero a veces conversa en clases."
"Pastora Perez Valcárcel","6° Básico B","14","Matemáticas","Control 2","4,3","99%","Muestra gran interés, pero a veces conversa en clases."
"Pastora Perez Valcárcel","6° Básico B","14","Lenguaje","Tarea 1","6,8","99%","Muestra gran interés, pero a veces conversa en clases."
"Pastora Perez Valcárcel","6° Básico B","14","Lenguaje","Laboratorio 2","5,6","99%","Muestra gran interés, pero a veces conversa en clases."
"Pastora Perez Valcárcel","6° Básico B","14","Lenguaje","Laboratorio 3","6,1","99%","Muestra gran interés, pero a veces conversa en clases."
"Pastora Perez Valcárcel","6° Básico B","14","Inglés","Control 1","6,1","99%","Muestra gran interés, pero a veces conversa en clases."
"Pastora Perez Valcárcel","6° Básico B","14","Inglés","Tarea 2","5,4","99%","Muestra gran interés, pero a veces conversa en clases."
"Pastora Perez Valcárcel","6° Básico B","14","Inglés","Ensayo 3","5,0","99%","Muestra gran interés, pero a veces conversa en clases."
"Pastora Perez Valcárcel","6° Básico B","14","Inglés","Ensayo 4","3,4","99%","Muestra gran interés, pero a veces conversa en clases."
"Pastora Perez Valcárcel","6° Básico B","14","Educación Física","Ensayo 1","6,1","99%","Muestra gran interés, pero a veces conversa en clases."
"Pastora Perez Valcárcel","6° Básico B","14","Educación Física","Tarea 2","5,6","99%","Muestra gran interés, pero a veces conversa en clases."
"Pastora Perez Valcárcel","6° Básico B","14","Historia","Tarea 1","5,9","99%","Muestra gran interés, pero a veces conversa en clases."
"Pastora Perez Valcárcel","6° Básico B","14","Historia","Exposición 2","6,3","99%","Muestra gran interés, pero a veces conversa en clases."
"Pastora Perez Valcárcel","6° Básico B","14","Historia","Ensayo 3","5,8","99%","Muestra gran interés, pero a veces conversa en clases."
"Pastora Perez Valcárcel","6° Básico B","14","Historia","Tarea 4","5,6","99%","Muestra gran interés, pero a veces conversa en clases."
"Leoncio Sarabia Pont","1° Medio A","15","Matemáticas","Tarea 1","4,2","83%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Leoncio Sarabia Pont","1° Medio A","15","Matemáticas","Tarea 2","4,5","83%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Leoncio Sarabia Pont","1° Medio A","15","Matemáticas","Prueba 3","5,0","83%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Leoncio Sarabia Pont","1° Medio A","15","Inglés","Laboratorio 1","7,0","83%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Leoncio Sarabia Pont","1° Medio A","15","Inglés","Exposición 2","5,6","83%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Leoncio Sarabia Pont","1° Medio A","15","Inglés","Exposición 3","5,0","83%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Leoncio Sarabia Pont","1° Medio A","15","Lenguaje","Laboratorio 1","5,1","83%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Leoncio Sarabia Pont","1° Medio A","15","Lenguaje","Control 2","4,3","83%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Leoncio Sarabia Pont","1° Medio A","15","Ciencias","Laboratorio 1","3,6","83%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Leoncio Sarabia Pont","1° Medio A","15","Ciencias","Exposición 2","6,1","83%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Leoncio Sarabia Pont","1° Medio A","15","Historia","Tarea 1","5,3","83%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Leoncio Sarabia Pont","1° Medio A","15","Historia","Exposición 2","4,7","83%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Leoncio Sarabia Pont","1° Medio A","15","Educación Física","Laboratorio 1","6,4","83%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"Leoncio Sarabia Pont","1° Medio A","15","Educación Física","Prueba 2","4,0","83%","Presenta un progreso inconsistente; alterna entre notas altas y bajas."
"María Manuela Marín","7° Básico B","14","Ciencias","Laboratorio 1","4,9","81%","Buen rendimiento académico, aunque es muy tímido."
"María Manuela Marín","7° Básico B","14","Ciencias","Tarea 2","5,4","81%","Buen rendimiento académico, aunque es muy tímido."
